bmi_drift,year,group,avg,bmi_avg,nonbmi_avg,delta,percent_increase
-0.2,1,81+,1.1032790126903258,1.325725072936331,1.020538435759539,0.3051866371767919,29.904472627692424
-0.2,1,0-14,0.028016872383146294,0.06470968880522385,0.01481544192346766,0.049894246881756185,336.77191095274515
-0.2,1,15-24,0.05852776078107957,0.06715240237719504,0.05543237250554324,0.011720029871651803,21.142933888459847
-0.2,1,25-44,0.13866166826977094,0.17899393066556937,0.1240161818704778,0.054977748795091576,44.33110902616741
-0.2,1,45-64,0.6510404789239328,0.8368759810867937,0.5812139878594043,0.2556619932273894,43.98758436096586
-0.2,1,65-80,1.1379403376242965,1.3392542468457038,1.06219334305795,0.27706090378775383,26.083848632502505
-0.2,1,81+,1.0922089868539024,1.38588874393139,0.982360705571777,0.40352803835961293,41.077379833178675
-0.2,1,0-14,0.012396758247718222,0.03545051698670605,0.004200974626113258,0.031249542360592797,743.8641063515508
-0.2,1,15-24,0.04341354502604813,0.06034193764666443,0.037332305691370214,0.023009631955294214,61.63463930012003
-0.2,1,25-44,0.1502477722353044,0.19948032817071423,0.1323106280841421,0.06716970008657214,50.76667011500844
-0.2,1,45-64,0.6655569708952327,0.8466644381834679,0.5976345349303686,0.2490299032530994,41.66926251711915
-0.2,1,65-80,1.1504837371085657,1.387405106726191,1.0613201267406875,0.32608497998550345,30.72446962698332
-0.2,1,81+,1.0794548607474135,1.3387586439534491,0.9805970389184497,0.35816160503499944,36.52485076133149
-0.2,1,0-14,0.023363394233914304,0.03609456776755098,0.018915510718789406,0.017179057048761576,90.81994826445285
-0.2,1,15-24,0.0356690624386938,0.044277929155313346,0.03261578604044357,0.011662143114869777,35.75613079019073
-0.2,1,25-44,0.14766071457923546,0.20629349097850852,0.12631169840652934,0.07998179257197918,63.320969934677684
-0.2,1,45-64,0.6576393249556406,0.7998280966478847,0.6042918516448276,0.19553624500305705,32.35791521444897
-0.2,1,65-80,1.1481680816217874,1.3916318699921002,1.056516601834765,0.3351152681573353,31.71888331668129
-0.2,1,81+,1.080836866615695,1.3203569222906064,0.9913515319802366,0.3290053903103697,33.18756058743133
-0.2,1,0-14,0.023488146315492783,0.02997781641585227,0.02119407413687133,0.008783742278980941,41.444331194915776
