bmi_drift,year,avg,bmi_avg,delta,percent_increase
0.1,22,0.6574,0.6065139622314977,-0.050886037768502285,-7.740498595756362
0.1,22,0.65655,0.5989152801088604,-0.057634719891139566,-8.778420514985841
0.1,22,0.66135,0.6032533937993444,-0.05809660620065557,-8.784547697989808
0.1,22,0.65155,0.5974196579461718,-0.054130342053828204,-8.307933704831283
0.1,22,0.64825,0.5888597306507755,-0.059390269349224575,-9.16163044338212
0.1,22,0.6572,0.6046797650191615,-0.05252023498083843,-7.991514756670481
0.1,22,0.6575,0.6035436422487378,-0.053956357751262174,-8.206290152283223
0.1,22,0.6538,0.5988330724348939,-0.0549669275651061,-8.407300025253306
0.1,22,0.64845,0.5916721714767317,-0.056777828523268264,-8.755930067587059
0.1,22,0.65565,0.6053550109816002,-0.05029498901839985,-7.671011823137319
0.1,22,0.64465,0.5904921869747588,-0.05415781302524122,-8.401118905645111
0.1,22,0.6492,0.5931356442692076,-0.05606435573079242,-8.63591431466303
0.1,22,0.65745,0.5968441126617355,-0.06060588733826444,-9.21832646410593
0.1,22,0.65235,0.6104675626559433,-0.04188243734405666,-6.420240261218158
0.1,22,0.6573,0.5993757453680192,-0.057924254631980775,-8.812453161719269
0.1,22,0.6677500000000001,0.6083962328689029,-0.05935376713109711,-8.888621060441348
0.1,22,0.6456500000000001,0.5759499011386727,-0.06970009886132734,-10.795337855080511
0.1,22,0.6609,0.6116009608108861,-0.049299039189113894,-7.459379511138431
0.1,22,0.6553,0.5974437616153785,-0.05785623838462147,-8.828969690923461
0.1,22,0.6665,0.6187349245286886,-0.04776507547131137,-7.166552958936434
0.1,22,0.65415,0.6074947541282729,-0.04665524587172702,-7.132193819724375
0.1,22,0.6586500000000001,0.6095588670769875,-0.04909113292301251,-7.453295820695738
0.1,22,0.65705,0.5921984440678661,-0.0648515559321338,-9.87010972256812
0.1,22,0.65905,0.6050859153564075,-0.053964084643592404,-8.188162452559355
0.1,22,0.6452,0.5821674594950749,-0.06303254050492513,-9.769457610806743
0.1,22,0.65625,0.6019058643381884,-0.054344135661811566,-8.281011148466522
0.1,22,0.64695,0.5875377808528459,-0.059412219147154166,-9.183432900093392
0.1,22,0.6565,0.5882098031926176,-0.06829019680738238,-10.402162499220468
0.1,22,0.6574,0.6049393692763297,-0.05246063072367026,-7.980016842663562
0.1,22,0.6649999999999999,0.5978623686195167,-0.06713763138048333,-10.095884418117794
0.1,22,0.65315,0.5813581842173753,-0.07179181578262474,-10.991627617335187
0.1,22,0.6589,0.5987839798803116,-0.06011602011968846,-9.123694053678621
0.1,22,0.6638,0.5991497703468163,-0.06465022965318375,-9.73941392786739
0.1,22,0.6557000000000001,0.5911270449468853,-0.0645729550531147,-9.847941902259372
0.1,22,0.6577000000000001,0.6032960732754543,-0.05440392672454572,-8.271845328348137
0.1,22,0.6669999999999999,0.6014813228716661,-0.06551867712833387,-9.822890124187989
0.1,22,0.65445,0.5921633145661245,-0.062286685433875486,-9.517409341259908
0.1,22,0.65635,0.5939340387059161,-0.062415961294083874,-9.509554550785992
0.1,22,0.6566,0.5931590510367736,-0.06344094896322643,-9.662039135428946
0.1,22,0.655,0.581485430964555,-0.07351456903544511,-11.223598326022156
0.1,22,0.6509,0.6024466991890666,-0.04845330081093341,-7.444046829149398
0.1,22,0.6494500000000001,0.5912671930979349,-0.058182806902065155,-8.958781569337926
0.1,22,0.6604,0.602868760810336,-0.057531239189663984,-8.71157468044579
0.1,22,0.6611,0.5959895180585622,-0.06511048194143779,-9.848809853492336
0.1,22,0.65315,0.5918731137107583,-0.06127688628924169,-9.381747881687463
0.1,22,0.6553,0.591691662900111,-0.06360833709988904,-9.706750663801166
0.1,22,0.65245,0.5933981042708029,-0.05905189572919713,-9.05079250964781
0.1,22,0.66,0.6045179764556157,-0.055482023544384335,-8.406367203694598
0.1,22,0.6555,0.594889153993718,-0.06061084600628196,-9.246505874337451
0.1,22,0.6537000000000001,0.592863077349143,-0.06083692265085698,-9.30655081090056
0.1,22,0.6508,0.592995666657917,-0.057804333342082945,-8.882042615562835
0.1,22,0.66235,0.5992609229233541,-0.06308907707664596,-9.525036170702194
0.1,22,0.66025,0.5882755006721195,-0.07197449932788043,-10.901097967115547
0.1,22,0.66035,0.6044376347358977,-0.05591236526410227,-8.467080376179648
0.1,22,0.6567,0.6093353876401739,-0.047364612359826044,-7.212519013221563
0.1,22,0.6576000000000001,0.6077570701988444,-0.04984292980115563,-7.579520955163566
0.1,22,0.6485000000000001,0.5799298021697511,-0.06857019783024888,-10.5736619630299
0.1,22,0.6567,0.5926659584494837,-0.06403404155051638,-9.750881917240195
0.1,22,0.6471,0.5829014805241322,-0.06419851947586783,-9.920958039849758
0.1,22,0.6602,0.6099685904896832,-0.05023140951031686,-7.60851401246847
0.1,22,0.6417499999999999,0.5825087957006387,-0.05924120429936118,-9.23119661852142
0.1,22,0.6452,0.5779616119605596,-0.06723838803944035,-10.421324866621262
0.1,22,0.6569,0.6011998924108628,-0.05570010758913718,-8.479236959832114
0.1,22,0.6647000000000001,0.6052729594248426,-0.05942704057515739,-8.940430355823281
0.1,22,0.6497499999999999,0.5912793974483783,-0.05847060255162167,-8.998938445805571
0.1,22,0.65115,0.5998397540007363,-0.05131024599926374,-7.879942563044418
0.1,22,0.65815,0.5994749041785554,-0.058675095821444576,-8.915155484531578
0.1,22,0.6617500000000001,0.6104555463286664,-0.05129445367133365,-7.751334139982413
0.1,22,0.6496,0.5948772182538417,-0.05472278174615836,-8.424073544667232
0.1,22,0.65325,0.5935083597545677,-0.059741640245432326,-9.145295100716776
0.1,22,0.6578999999999999,0.5934177330531399,-0.06448226694686002,-9.801226166113397
0.1,22,0.66525,0.6071302747649294,-0.05811972523507066,-8.736523898545013
0.1,22,0.6552,0.596431212701683,-0.058768787298317006,-8.969595131000762
0.1,22,0.65765,0.6043167107302397,-0.053333289269760255,-8.109676768761542
0.1,22,0.6581,0.5936218465622778,-0.06447815343772217,-9.797622464324906
0.1,22,0.65075,0.5999029216924441,-0.05084707830755597,-7.8136117260938835
0.1,22,0.65515,0.591892507401503,-0.06325749259849696,-9.655421292604283
0.1,22,0.6593,0.6013273033187149,-0.057972696681285116,-8.793067902515562
0.1,22,0.65565,0.5977688763722367,-0.05788112362776322,-8.828052105202966
0.1,22,0.6616000000000001,0.5990154389301878,-0.06258456106981222,-9.459576945255776
0.1,22,0.6707000000000001,0.6055860922919596,-0.06511390770804039,-9.708350634865127
0.1,22,0.65355,0.6038625318002353,-0.04968746819976472,-7.6027034197482575
0.1,22,0.65405,0.5964092404127357,-0.057640759587264306,-8.812898033371198
0.1,22,0.64795,0.5877874254295282,-0.06016257457047182,-9.285064367693774
